"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"1",25025030301,2110,885000,2194.5,0.428445229681979,157976,119276,52,140,0,4,1154,500,758,127,668,717,1385,566,8,9,30,34,485,1174,120937.5
"3",25025030301,2109,885000,2194.5,0.428445229681979,157976,119276,52,140,0,4,1154,500,758,127,668,717,1385,566,8,9,30,34,485,1174,120937.5
"472",25025030301,2210,885000,2194.5,0.428445229681979,157976,119276,52,140,0,4,1154,500,758,127,668,717,1385,566,8,9,30,34,485,1174,120937.5
"1254",25025070302,2116,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"1321",25025070302,2215,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"1675",25025070302,2118,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"1821",25025070302,2109,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"2112",25025070302,2115,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"2723",25025110401,2131,389250,2009,0.427083333333333,67713,125234,1144,125,3,902,1282,485,2462,678,1709,1916,3625,384,13,11,10,22,328,1466,299962.5
"3674",25025000804,2134,459950,2574,0.369444444444444,90551,109178,818,824,5,217,1661,277,3021,515,2047,1766,3813,360,24,16,33,21,266,1198,226600
"3777",25025000804,2135,459950,2574,0.369444444444444,90551,109178,818,824,5,217,1661,277,3021,515,2047,1766,3813,360,24,16,33,21,266,1198,226600
"4609",25025101101,2126,369000,1934,0.386255924170616,54677,81481,752,28,7,2436,108,464,2209,849,1579,1943,3522,211,16,13,8,11,163,2820,324000
"5044",25025101101,2124,369000,1934,0.386255924170616,54677,81481,752,28,7,2436,108,464,2209,849,1579,1943,3522,211,16,13,8,11,163,2820,324000
"5133",25025101101,2125,369000,1934,0.386255924170616,54677,81481,752,28,7,2436,108,464,2209,849,1579,1943,3522,211,16,13,8,11,163,2820,324000
"5222",25025081400,2119,445500,2702,0.361428571428571,38925,116563,684,326,9,1324,1172,458,2801,515,1850,1924,3774,350,24,12,27,34,253,1540.5,304375
"5223",25025081400,2120,445500,2702,0.361428571428571,38925,116563,684,326,9,1324,1172,458,2801,515,1850,1924,3774,350,24,12,27,34,253,1540.5,304375
"5231",25025081400,2130,445500,2702,0.361428571428571,38925,116563,684,326,9,1324,1172,458,2801,515,1850,1924,3774,350,24,12,27,34,253,1540.5,304375
"5643",25025081400,2467,445500,2702,0.361428571428571,38925,116563,684,326,9,1324,1172,458,2801,515,1850,1924,3774,350,24,12,27,34,253,1540.5,304375
"6073",25025092300,2124,392787,1780,0.345098039215686,50568,90938,740,131,16,2033,119,363,2045,893,1476,1825,3301,255,30,19,16,14,176,3048,310000
"6158",25025092300,2119,392787,1780,0.345098039215686,50568,90938,740,131,16,2033,119,363,2045,893,1476,1825,3301,255,30,19,16,14,176,3048,310000
"6254",25025092300,2121,392787,1780,0.345098039215686,50568,90938,740,131,16,2033,119,363,2045,893,1476,1825,3301,255,30,19,16,14,176,3048,310000
"6392",25025092300,2125,392787,1780,0.345098039215686,50568,90938,740,131,16,2033,119,363,2045,893,1476,1825,3301,255,30,19,16,14,176,3048,310000
"6442",25025092300,2122,392787,1780,0.345098039215686,50568,90938,740,131,16,2033,119,363,2045,893,1476,1825,3301,255,30,19,16,14,176,3048,310000
"6798",25025070102,2111,1101000,2453,0.441323971915747,0,250001,353,745,7,232,2194,744,2793,150,1869,1818,3687,997,9,26,24,58,880,1195,0
"6802",25025070102,2108,1101000,2453,0.441323971915747,0,250001,353,745,7,232,2194,744,2793,150,1869,1818,3687,997,9,26,24,58,880,1195,0
"8006",25025070102,2110,1101000,2453,0.441323971915747,0,250001,353,745,7,232,2194,744,2793,150,1869,1818,3687,997,9,26,24,58,880,1195,0
"9208",25025092400,2124,348000,1077,0.283987915407855,35938,0,2281,71,25,2984,181,631,3631,1805,2652,3415,6067,331,55,36,24,28,188,3306,230000
"9214",25025092400,2121,348000,1077,0.283987915407855,35938,0,2281,71,25,2984,181,631,3631,1805,2652,3415,6067,331,55,36,24,28,188,3306,230000
"9244",25025092400,2125,348000,1077,0.283987915407855,35938,0,2281,71,25,2984,181,631,3631,1805,2652,3415,6067,331,55,36,24,28,188,3306,230000
"9345",25025092400,2122,348000,1077,0.283987915407855,35938,0,2281,71,25,2984,181,631,3631,1805,2652,3415,6067,331,55,36,24,28,188,3306,230000
"10127",25025061204,2127,875000,2303,0.469964664310954,141125,208523,45,64,0,11,787,106,770,61,488,449,937,283,1,1,5,10,266,1320,417000
"10128",25025061204,2210,875000,2303,0.469964664310954,141125,208523,45,64,0,11,787,106,770,61,488,449,937,283,1,1,5,10,266,1320,417000
"10301",25025061204,2110,875000,2303,0.469964664310954,141125,208523,45,64,0,11,787,106,770,61,488,449,937,283,1,1,5,10,266,1320,417000
"10711",25025061204,2116,875000,2303,0.469964664310954,141125,208523,45,64,0,11,787,106,770,61,488,449,937,283,1,1,5,10,266,1320,417000
"10921",25025130101,2132,465000,2258,0.449090909090909,110890,126889,440,580,1,206,4540,1209,3816,1023,2784,3264,6048,825,16,12,16,40,741,1464,362400
"10923",25025130101,2467,465000,2258,0.449090909090909,110890,126889,440,580,1,206,4540,1209,3816,1023,2784,3264,6048,825,16,12,16,40,741,1464,362400
"11623",25025130101,2205,465000,2258,0.449090909090909,110890,126889,440,580,1,206,4540,1209,3816,1023,2784,3264,6048,825,16,12,16,40,741,1464,362400
"11760",25025130101,2131,465000,2258,0.449090909090909,110890,126889,440,580,1,206,4540,1209,3816,1023,2784,3264,6048,825,16,12,16,40,741,1464,362400
"11791",25025130101,2026,465000,2258,0.449090909090909,110890,126889,440,580,1,206,4540,1209,3816,1023,2784,3264,6048,825,16,12,16,40,741,1464,362400
"12212",25025130101,2136,465000,2258,0.449090909090909,110890,126889,440,580,1,206,4540,1209,3816,1023,2784,3264,6048,825,16,12,16,40,741,1464,362400
"12829",25025010500,2199,1280000,2236,0.441002949852507,49103,166000,300,987,5,306,2086,473,3224,179,1850,2026,3876,339,11,4,5,20,299,1363,375000
"12838",25025010500,2115,1280000,2236,0.441002949852507,49103,166000,300,987,5,306,2086,473,3224,179,1850,2026,3876,339,11,4,5,20,299,1363,375000
"12842",25025010500,2118,1280000,2236,0.441002949852507,49103,166000,300,987,5,306,2086,473,3224,179,1850,2026,3876,339,11,4,5,20,299,1363,375000
"12853",25025010500,2116,1280000,2236,0.441002949852507,49103,166000,300,987,5,306,2086,473,3224,179,1850,2026,3876,339,11,4,5,20,299,1363,375000
"12893",25025010500,2136,1280000,2236,0.441002949852507,49103,166000,300,987,5,306,2086,473,3224,179,1850,2026,3876,339,11,4,5,20,299,1363,375000
"12949",25025010500,2215,1280000,2236,0.441002949852507,49103,166000,300,987,5,306,2086,473,3224,179,1850,2026,3876,339,11,4,5,20,299,1363,375000
"13096",25025010500,2110,1280000,2236,0.441002949852507,49103,166000,300,987,5,306,2086,473,3224,179,1850,2026,3876,339,11,4,5,20,299,1363,375000
"13595",25025010600,2116,1160000,2046,0.448051948051948,74773,204722,249,507,0,149,2472,791,2448,290,1660,1869,3529,462,2,6,10,30,414,1134,0
"13600",25025010600,2199,1160000,2046,0.448051948051948,74773,204722,249,507,0,149,2472,791,2448,290,1660,1869,3529,462,2,6,10,30,414,1134,0
"14089",25025010600,2115,1160000,2046,0.448051948051948,74773,204722,249,507,0,149,2472,791,2448,290,1660,1869,3529,462,2,6,10,30,414,1134,0
"14515",25025010600,2215,1160000,2046,0.448051948051948,74773,204722,249,507,0,149,2472,791,2448,290,1660,1869,3529,462,2,6,10,30,414,1134,0
"14746",25025081301,2119,538000,1611,0.286666666666667,15242,117617,1108,62,8,769,336,481,1369,544,1113,1281,2394,75,3,16,6,7,43,2282,260000
"14770",25025081301,2130,538000,1611,0.286666666666667,15242,117617,1108,62,8,769,336,481,1369,544,1113,1281,2394,75,3,16,6,7,43,2282,260000
"14899",25025010802,2116,880000,2185.5,0.422135706340378,110172,250001,139,281,4,44,2453,410,2414,234,1507,1551,3058,899,27,34,35,44,759,997,171000
"14902",25025010802,2115,880000,2185.5,0.422135706340378,110172,250001,139,281,4,44,2453,410,2414,234,1507,1551,3058,899,27,34,35,44,759,997,171000
"14979",25025010802,2138,880000,2185.5,0.422135706340378,110172,250001,139,281,4,44,2453,410,2414,234,1507,1551,3058,899,27,34,35,44,759,997,171000
"15106",25025010802,2215,880000,2185.5,0.422135706340378,110172,250001,139,281,4,44,2453,410,2414,234,1507,1551,3058,899,27,34,35,44,759,997,171000
"16119",25025010802,2214,880000,2185.5,0.422135706340378,110172,250001,139,281,4,44,2453,410,2414,234,1507,1551,3058,899,27,34,35,44,759,997,171000
"17184",25025080100,2119,650000,1800,0.349753694581281,31917,61250,796,46,2,1012,572,243,2243,414,1672,1228,2900,203,12,7,22,20,142,2364,312075
"17185",25025080100,2118,650000,1800,0.349753694581281,31917,61250,796,46,2,1012,572,243,2243,414,1672,1228,2900,203,12,7,22,20,142,2364,312075
"17206",25025080100,2116,650000,1800,0.349753694581281,31917,61250,796,46,2,1012,572,243,2243,414,1672,1228,2900,203,12,7,22,20,142,2364,312075
"17752",25025070104,2110,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"17755",25025070104,2111,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"17775",25025070104,2210,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"17817",25025070104,2109,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"17832",25025070104,2108,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"17973",25025070104,2024,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"18263",25025070104,2205,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"19065",25025070104,2129,890000,2254,0.43224043715847,0,250001,144,667,2,51,1852,383,2193,286,1500,1362,2862,915,25,11,32,56,791,1310,396750
"19926",25025020200,2114,599000,2157.5,0.432098765432099,99917,178125,269,329,1,166,2870,375,3233,196,1621,2183,3804,648,5,11,24,48,560,677,329625
"20016",25025020200,2134,599000,2157.5,0.432098765432099,99917,178125,269,329,1,166,2870,375,3233,196,1621,2183,3804,648,5,11,24,48,560,677,329625
"20361",25025020200,2115,599000,2157.5,0.432098765432099,99917,178125,269,329,1,166,2870,375,3233,196,1621,2183,3804,648,5,11,24,48,560,677,329625
"21660",25025082100,2121,534950,1794,0.244186046511628,22482,140242,2079,48,9,2657,164,700,3124,1400,2243,2981,5224,172,54,12,7,15,84,4197.5,411000
"21835",25025082100,2122,534950,1794,0.244186046511628,22482,140242,2079,48,9,2657,164,700,3124,1400,2243,2981,5224,172,54,12,7,15,84,4197.5,411000
"22008",25025082100,2124,534950,1794,0.244186046511628,22482,140242,2079,48,9,2657,164,700,3124,1400,2243,2981,5224,172,54,12,7,15,84,4197.5,411000
"22044",25025020304,2114,947000,2429,0.5,186406,0,193,233,2,111,1269,64,1676,166,921,985,1906,35,0,0,0,0,35,1029,424999
"22131",25025040600,2129,610000,1852,0.457354758961681,126719,235350,202,266,2,89,2981,308,2867,508,1788,1895,3683,809,8,6,21,34,740,1232,417000
"23856",25025140107,2136,340000,2010.5,0.426948051948052,0,126063,746,57,10,1032,747,462,1758,558,1286,1492,2778,308,23,7,6,9,263,1455,280300
"23884",25025140107,2138,340000,2010.5,0.426948051948052,0,126063,746,57,10,1032,747,462,1758,558,1286,1492,2778,308,23,7,6,9,263,1455,280300
"24668",25025140102,2136,355000,2185,0.433723196881092,48551,122634,998,139,5,1984,1562,710,3219,1029,2347,2611,4958,513,26,12,18,12,445,1530,305000
"24814",25025140102,2137,355000,2185,0.433723196881092,48551,122634,998,139,5,1984,1562,710,3219,1029,2347,2611,4958,513,26,12,18,12,445,1530,305000
"24996",25025140102,2134,355000,2185,0.433723196881092,48551,122634,998,139,5,1984,1562,710,3219,1029,2347,2611,4958,513,26,12,18,12,445,1530,305000
"25005",25025140102,2186,355000,2185,0.433723196881092,48551,122634,998,139,5,1984,1562,710,3219,1029,2347,2611,4958,513,26,12,18,12,445,1530,305000
"25990",25025120104,2130,472500,2140.5,0.472463768115942,90761,137083,324,156,1,153,1570,236,1804,333,1050,1323,2373,345,1,1,5,12,326,1070,350400
"26852",25025091200,2125,444900,2046,0.40519877675841,40625,143056,761,174,0,546,1120,375,2172,593,1549,1591,3140,327,27,12,13,10,265,1300,350000
"26893",25025091200,2126,444900,2046,0.40519877675841,40625,143056,761,174,0,546,1120,375,2172,593,1549,1591,3140,327,27,12,13,10,265,1300,350000
"27028",25025091200,2127,444900,2046,0.40519877675841,40625,143056,761,174,0,546,1120,375,2172,593,1549,1591,3140,327,27,12,13,10,265,1300,350000
"27035",25025091200,2128,444900,2046,0.40519877675841,40625,143056,761,174,0,546,1120,375,2172,593,1549,1591,3140,327,27,12,13,10,265,1300,350000
"27111",25025091200,2124,444900,2046,0.40519877675841,40625,143056,761,174,0,546,1120,375,2172,593,1549,1591,3140,327,27,12,13,10,265,1300,350000
"27616",25025040300,2128,619000,1895,0.456359102244389,137781,172361,465,138,0,226,3506,365,3209,951,2085,2440,4525,1203,13,12,29,51,1098,1107,435000
"27617",25025040300,2129,619000,1895,0.456359102244389,137781,172361,465,138,0,226,3506,365,3209,951,2085,2440,4525,1203,13,12,29,51,1098,1107,435000
"27618",25025040300,2130,619000,1895,0.456359102244389,137781,172361,465,138,0,226,3506,365,3209,951,2085,2440,4525,1203,13,12,29,51,1098,1107,435000
"30085",25025040300,2467,619000,1895,0.456359102244389,137781,172361,465,138,0,226,3506,365,3209,951,2085,2440,4525,1203,13,12,29,51,1098,1107,435000
"30503",25025000302,2135,451000,2385,0.39070351758794,109688,77246,233,550,0,91,2022,449,2373,250,1546,1526,3072,398,6,13,31,37,311,1057,249485
"31070",25025000302,2210,451000,2385,0.39070351758794,109688,77246,233,550,0,91,2022,449,2373,250,1546,1526,3072,398,6,13,31,37,311,1057,249485
"31473",25025000604,2134,398500,2499,0.389784946236559,44315,116304,361,550,1,110,1377,281,2109,201,1286,1305,2591,186,5,5,16,15,145,1006,125375
"31481",25025000604,2135,398500,2499,0.389784946236559,44315,116304,361,550,1,110,1377,281,2109,201,1286,1305,2591,186,5,5,16,15,145,1006,125375
"32029",25025081102,2120,447000,1910.5,0.398617511520737,67206,0,508,731,6,529,1248,468,2459,238,1585,1580,3165,217,8,4,8,24,173,1200,270000
"32039",25025081102,2130,447000,1910.5,0.398617511520737,67206,0,508,731,6,529,1248,468,2459,238,1585,1580,3165,217,8,4,8,24,173,1200,270000
"32043",25025081102,2116,447000,1910.5,0.398617511520737,67206,0,508,731,6,529,1248,468,2459,238,1585,1580,3165,217,8,4,8,24,173,1200,270000
"32051",25025081102,2115,447000,1910.5,0.398617511520737,67206,0,508,731,6,529,1248,468,2459,238,1585,1580,3165,217,8,4,8,24,173,1200,270000
"32289",25025081102,2119,447000,1910.5,0.398617511520737,67206,0,508,731,6,529,1248,468,2459,238,1585,1580,3165,217,8,4,8,24,173,1200,270000
"32663",25025051101,2128,410000,2389,0.399321266968326,53622,91371,2821,313,3,275,2741,828,4446,1186,3228,3232,6460,442,27,7,29,26,353,1893,3e+05
"33700",25025081500,2119,395000,2086,0.377880184331797,43720,71649,631,117,4,1107,406,264,1720,465,1124,1325,2449,217,20,8,16,9,164,1754,288000
"34256",25025061201,2109,564250,2053,0.411877394636015,53346,124250,132,170,0,65,1567,166,1716,131,1086,927,2013,522,10,17,25,40,430,1109.5,391800
"34257",25025061201,2127,564250,2053,0.411877394636015,53346,124250,132,170,0,65,1567,166,1716,131,1086,927,2013,522,10,17,25,40,430,1109.5,391800
"34303",25025061201,2129,564250,2053,0.411877394636015,53346,124250,132,170,0,65,1567,166,1716,131,1086,927,2013,522,10,17,25,40,430,1109.5,391800
"35349",25025100500,2124,4e+05,1693,0.366729678638941,24450,138952,1421,667,29,3060,934,800,4252,1524,3020,3556,6576,529,52,29,30,30,388,2394,304000
"35350",25025100500,2125,4e+05,1693,0.366729678638941,24450,138952,1421,667,29,3060,934,800,4252,1524,3020,3556,6576,529,52,29,30,30,388,2394,304000
"35474",25025100500,2122,4e+05,1693,0.366729678638941,24450,138952,1421,667,29,3060,934,800,4252,1524,3020,3556,6576,529,52,29,30,30,388,2394,304000
"36000",25025100500,2119,4e+05,1693,0.366729678638941,24450,138952,1421,667,29,3060,934,800,4252,1524,3020,3556,6576,529,52,29,30,30,388,2394,304000
"36824",25025080900,2119,1150000,2841.5,0.354054054054054,71875,0,355,1305,2,319,2194,329,3763,284,2280,2096,4376,185,12,18,14,10,131,2992,750000
"36825",25025080900,2120,1150000,2841.5,0.354054054054054,71875,0,355,1305,2,319,2194,329,3763,284,2280,2096,4376,185,12,18,14,10,131,2992,750000
"37107",25025080900,2115,1150000,2841.5,0.354054054054054,71875,0,355,1305,2,319,2194,329,3763,284,2280,2096,4376,185,12,18,14,10,131,2992,750000
"37313",25025140300,2136,350000,1711.5,0.387947269303202,0,91446,1846,78,13,3681,920,1227,4288,1328,3198,3645,6843,531,57,15,32,15,412,1890,281250
"37339",25025140300,2135,350000,1711.5,0.387947269303202,0,91446,1846,78,13,3681,920,1227,4288,1328,3198,3645,6843,531,57,15,32,15,412,1890,281250
"37408",25025140300,1236,350000,1711.5,0.387947269303202,0,91446,1846,78,13,3681,920,1227,4288,1328,3198,3645,6843,531,57,15,32,15,412,1890,281250
"37666",25025140300,2132,350000,1711.5,0.387947269303202,0,91446,1846,78,13,3681,920,1227,4288,1328,3198,3645,6843,531,57,15,32,15,412,1890,281250
"38765",25025091600,2122,355950,2336,0.353503184713376,63045,84297,639,927,13,684,462,396,2106,698,1618,1582,3200,314,34,13,23,22,222,1344.5,243775
"38971",25025091600,2124,355950,2336,0.353503184713376,63045,84297,639,927,13,684,462,396,2106,698,1618,1582,3200,314,34,13,23,22,222,1344.5,243775
"39023",25025091600,2125,355950,2336,0.353503184713376,63045,84297,639,927,13,684,462,396,2106,698,1618,1582,3200,314,34,13,23,22,222,1344.5,243775
"39635",25025050400,2128,473000,2318,0.403508771929825,67250,0,969,119,2,41,1090,235,1786,351,1218,1154,2372,228,4,6,7,27,184,1407,336250
"40119",25025050400,2228,473000,2318,0.403508771929825,67250,0,969,119,2,41,1090,235,1786,351,1218,1154,2372,228,4,6,7,27,184,1407,336250
"40182",25025082000,2121,334500,1397.5,0.325581395348837,32336,122895,830,32,8,1882,129,425,2010,760,1477,1718,3195,215,37,9,14,15,140,2730,270000
"40194",25025082000,2119,334500,1397.5,0.325581395348837,32336,122895,830,32,8,1882,129,425,2010,760,1477,1718,3195,215,37,9,14,15,140,2730,270000
"40294",25025082000,2122,334500,1397.5,0.325581395348837,32336,122895,830,32,8,1882,129,425,2010,760,1477,1718,3195,215,37,9,14,15,140,2730,270000
"40366",25025082000,2125,334500,1397.5,0.325581395348837,32336,122895,830,32,8,1882,129,425,2010,760,1477,1718,3195,215,37,9,14,15,140,2730,270000
"40701",25025120301,2130,490000,2332,0.441126279863481,99559,128066,1590,296,3,637,2274,583,3754,783,2437,2683,5120,586,15,9,20,25,517,1178.5,354215
"40709",25025120301,2119,490000,2332,0.441126279863481,99559,128066,1590,296,3,637,2274,583,3754,783,2437,2683,5120,586,15,9,20,25,517,1178.5,354215
"42240",25025091700,2122,415750,1575,0.331632653061224,39750,84500,795,155,13,1311,208,318,2033,852,1549,1654,3203,196,19,14,11,22,130,3249,302000
