"","zip","year","price","flip_horizon","price_diff","mortgage","inv_to_inv","lat","lon","i2i_rank","perc_top_invested"
"1",2199,2014,4500000,2118,812500,0,1,42.3484261428571,-71.0821165714286,1,0.998468606431853
"2",2199,2020,6525000,2036,-1e+06,0,0.96875,42.3453776875,-71.08405278125,2,0.996937212863706
"3",2199,2019,4950000,784.5,-315720,0,0.901960784313726,42.3454226862745,-71.0840309607843,3,0.995405819295559
"4",2199,2021,4581250,1413,222500,0,0.85,42.34607995,-71.08361125,4,0.993874425727412
"5",2199,2022,4057550,1154,1e+05,0,0.772727272727273,42.3462076363636,-71.0835429090909,5,0.992343032159265
"6",2199,2008,4228959,NA,NA,0,0.733333333333333,42.3486303333333,-71.0819552,6,0.990811638591118
"7",2199,2015,3650000,4588,1005000,520000,0.714285714285714,42.3476251428571,-71.0826175714286,7,0.989280245022971
"8",2199,2018,4772500,3115,1100000,0,0.666666666666667,42.3474413333333,-71.0828576666667,8,0.987748851454824
"9",2121,2008,248952,444,-128893,0,0.571428571428571,42.3070395897436,-71.081312003663,9,0.986217457886677
"10",2121,2009,201500,574,-117010,0,0.549107142857143,42.3067288928571,-71.0811408214286,10,0.98468606431853
"11",2120,2008,411080,1343,44000,76000,0.538461538461538,42.3307303692308,-71.0996314,11,0.983154670750383
"12",2119,2008,248570,836,-80000,0,0.51685393258427,42.3229529363296,-71.0853144082397,12,0.981623277182236
"13",2115,2019,1350000,2664,226000,452812,0.515358361774744,42.3453791569966,-71.0873559112628,13,0.980091883614089
"14",2121,2012,221000,735.5,-20000,31994.5,0.51123595505618,42.307580511236,-71.0813591011236,14,0.978560490045942
"15",2119,2009,180000,659,-104000,0,0.506172839506173,42.3226596090535,-71.0847664444444,15,0.977029096477795
"16",2121,2010,209000,536,-85000,31000,0.488372093023256,42.3072447255814,-71.0816354604651,16,0.975497702909648
"17",2120,2020,1229500,2316,289999,628625,0.481481481481481,42.3312106111111,-71.1011149444444,17,0.973966309341501
"18",2121,2011,210000,665,-39957,0,0.476190476190476,42.306682047619,-71.0815336878307,18,0.972434915773354
"19",2110,2017,1284312.5,1662,340000,587000,0.474576271186441,42.3572317881356,-71.0528646186441,19,0.970903522205207
"20",2120,2016,817500,3119,273000,568000,0.473684210526316,42.331765122807,-71.0979192280702,20,0.96937212863706
"21",2126,2009,190000,728.5,-111100,0,0.4688995215311,42.2765355550239,-71.0919957368421,21,0.967840735068913
"22",2120,2022,1437500,3642.5,767500,706625,0.458333333333333,42.331361125,-71.1011642708333,22,0.966309341500766
"23",2124,2008,250000,540.5,-95750,51000,0.452185792349727,42.2879731748634,-71.0725553743169,23,0.964777947932619
"24",2120,2019,855750,3922,470000,454250,0.448275862068966,42.3310665862069,-71.0988602241379,24,0.963246554364472
"25",2120,2015,854250,2361,152000,436000,0.444444444444444,42.3315983650794,-71.0975286507936,25,0.961715160796325
"26",2119,2010,192500,641,-42127.5,92600,0.42914979757085,42.3234313238866,-71.0844261214575,26,0.960183767228178
"27",2126,2008,226500,202.5,-86500,43250,0.422727272727273,42.2764339363636,-71.0912150590909,27,0.958652373660031
"28",2126,2012,220000,700,10592,0,0.421052631578947,42.2764177443609,-71.0912638571429,28,0.957120980091884
"29",2126,2010,198600,668.5,-71999,92000,0.413978494623656,42.2759974462366,-71.0906331075269,29,0.955589586523737
"30",2124,2010,225000,957,-59000,55000,0.411552346570397,42.2881068700361,-71.0720845848375,30,0.95405819295559
"31",2122,2008,241816,585,-87545.5,115000,0.409381663113006,42.29768191258,-71.0580146481876,31,0.952526799387443
"32",2125,2008,240393,666,-84050,96687.5,0.402380952380952,42.3151151261905,-71.0637842880952,32,0.950995405819296
"33",2122,2010,228875,684,-47035,90025,0.400510204081633,42.2971328469388,-71.0569797627551,33,0.949464012251149
"34",2124,2009,201000,621,-88472.5,0,0.39906103286385,42.2881724694836,-71.0726858106416,34,0.947932618683001
"35",2120,2012,692500,2587,158000,393525,0.397058823529412,42.3311633970588,-71.1010760735294,35,0.946401225114854
"36",2121,2013,297500,1201.5,62000,274964,0.391304347826087,42.3078278913043,-71.0814692826087,36,0.944869831546707
"37",2121,2015,434500,1611,180000,361976,0.388888888888889,42.3078314111111,-71.0820629,37,0.94333843797856
"38",2126,2011,210000,610.5,0,150972,0.384105960264901,42.2757873708609,-71.0906029470199,38,0.941807044410414
"39",2119,2014,375000,2215,87000,272500,0.382198952879581,42.3231447643979,-71.0875546282722,39,0.940275650842266
"40",2110,2019,1585000,2093,384000,0,0.378947368421053,42.3574370421053,-71.0546158631579,40,0.93874425727412
"41",2124,2011,244000,732.5,-281.5,157500,0.366583541147132,42.2877585685786,-71.0716067680798,41,0.937212863705972
"42",2121,2020,738250,1794,129792,615250,0.363636363636364,42.3087670909091,-71.0826978272727,42,0.935681470137825
"43",2125,2009,205000,533,-60000,107000,0.363395225464191,42.3150289814324,-71.0640496763926,43,0.934150076569678
"44",2119,2013,255000,1891,10000,185000,0.35978835978836,42.3231292910053,-71.0852550899471,44,0.932618683001531
"45",2134,2015,425000,3081,75000,172000,0.357512953367876,42.352371611399,-71.1347377098446,45,0.931087289433384
"46",2122,2009,188800,697,-87864,0,0.357142857142857,42.2974114126984,-71.058223026455,46,0.929555895865237
"47",2121,2007,324915.5,994,-44613.5,212750,0.355,42.307180825,-71.08087264,47,0.92802450229709
"48",2108,2022,1840000,2652,4e+05,120000,0.352941176470588,42.3573091470588,-71.0672100392157,48,0.926493108728943
"49",2134,2017,545000,2982,176000,230000,0.350993377483444,42.3525141324503,-71.1341260728477,49,0.924961715160796
"50",2121,2018,534000,2149,199500,456000,0.35031847133758,42.3077361974522,-71.081035433121,50,0.923430321592649
"51",2210,2015,1100000,2254,325000,0,0.344262295081967,42.3497511311475,-71.0520459180328,51,0.921898928024502
"52",2125,2010,226379.5,818,-42000,1e+05,0.342783505154639,42.3150550283505,-71.063230677835,52,0.920367534456355
"53",2113,2022,855000,2894,235000,498000,0.338028169014085,42.3653885774648,-71.0553195492958,53,0.918836140888208
"54",2119,2012,232000,1427.5,-12002,0,0.337423312883436,42.3236008159509,-71.0847856932515,54,0.917304747320061
"55",2119,2020,630000,1902.5,277000,445480,0.335664335664336,42.3237486223776,-71.083103986014,55,0.915773353751914
"56",2119,2016,445451,2332,149312.5,330600,0.33495145631068,42.3227030485437,-71.0864478834951,56,0.914241960183767
"57",2119,2015,452500,2406,130750,347525,0.333333333333333,42.3231836944444,-71.0873030277778,57,0.91271056661562
"58",2120,2011,442500,1544.5,20000,257375,0.333333333333333,42.3305725,-71.1003391969697,58,0.911179173047473
"59",2115,2020,1072500,2252,306000,289525,0.331325301204819,42.3467958192771,-71.0879412951807,59,0.909647779479326
"60",2121,2014,350000,1324.5,113250,294566,0.330827067669173,42.306347593985,-71.0808891353383,60,0.908116385911179
"61",2120,2014,444000,2874.5,109500,349400,0.328125,42.331324296875,-71.100431671875,61,0.906584992343032
"62",2119,2017,452500,2478,155000,332700,0.327586206896552,42.3229540574713,-71.0857828103448,62,0.905053598774885
"63",2136,2010,250000,1411,-31000,202500,0.325949367088608,42.2569824113924,-71.1218563512658,63,0.903522205206738
"64",2119,2011,214772,1021.5,-2228,132300,0.32484076433121,42.3229325414013,-71.0859528980892,64,0.901990811638591
"65",2215,2017,599500,3192,240000,0,0.321428571428571,42.3460804428571,-71.0955815785714,65,0.900459418070444
"66",2119,2022,762000,2570,299000,556000,0.320610687022901,42.3239742900763,-71.0855351221374,66,0.898928024502297
"67",2121,2016,440000,2089,125000,335500,0.3203125,42.3068338671875,-71.08170028125,67,0.89739663093415
"68",2108,2015,9e+05,2229,219750,145000,0.319587628865979,42.3576204742268,-71.0661642989691,68,0.895865237366003
"69",2134,2011,365500,1964.5,-500,183750,0.318681318681319,42.3511596648352,-71.1342287362637,69,0.894333843797856
"70",2110,2020,1150000,2087.5,167500,409400,0.311688311688312,42.3582445974026,-71.0532547922078,70,0.892802450229709
"71",2119,2021,725000,2415,276950,357010,0.309941520467836,42.3241371169591,-71.084284619883,71,0.891271056661562
"72",2124,2012,275000,1267,-1750,191175,0.309711286089239,42.2872944015748,-71.07103667979,72,0.889739663093415
"73",2108,2016,1300000,1969.5,329250,450000,0.305882352941176,42.3571950941176,-71.0650143882353,73,0.888208269525268
"74",2108,2017,1550000,2018,278500,350000,0.305882352941176,42.3573559058824,-71.0669006823529,74,0.886676875957121
"75",2120,2004,390000,889,146000,282000,0.304347826086957,42.3307631565217,-71.1024324608696,75,0.885145482388974
"76",2215,2013,352750,2431,72000,0,0.304347826086957,42.3464743217391,-71.0949182695652,76,0.883614088820827
"77",2119,2007,295000,985,-33045,2e+05,0.304182509505703,42.3238697794677,-71.086619539924,77,0.88208269525268
"78",2110,2007,7e+05,856,50000,150000,0.30379746835443,42.3580443544304,-71.0524468734177,78,0.880551301684533
"79",2113,2012,457050,2108,31401,123000,0.303571428571429,42.3652680714286,-71.0550497232143,79,0.879019908116386
"80",2210,2007,1150000,982,62876,401250,0.301724137931034,42.3501385775862,-71.051735362069,80,0.877488514548239
"81",2108,2019,1393275,2525,325000,0,0.3,42.3563647555556,-71.0673457222222,81,0.875957120980092
"82",2113,2019,7e+05,2014,184500,480000,0.298507462686567,42.3653960895522,-71.054910119403,82,0.874425727411945
"83",2120,2013,525000,2015.5,96000,312000,0.298245614035088,42.330842877193,-71.1005657192982,83,0.872894333843798
"84",2119,2018,540000,2722,210750,386250,0.297297297297297,42.3237868216216,-71.0852586162162,84,0.871362940275651
"85",2136,2008,268000,960.5,-63000,196800,0.295774647887324,42.2575167943662,-71.1212467915493,85,0.869831546707504
"86",2120,2010,475500,1511,1e+05,243750,0.295081967213115,42.331393147541,-71.1005433278688,86,0.868300153139357
"87",2119,2019,525000,2333.5,245750,369750,0.294797687861272,42.3238730115607,-71.0849780346821,87,0.86676875957121
"88",2126,2016,363000,1977.5,109000,326000,0.293785310734463,42.2754066327684,-71.0899845254237,88,0.865237366003063
"89",2128,2008,240000,1158.5,-101057.5,152500,0.292079207920792,42.3769421089109,-71.0295450915842,89,0.863705972434916
"90",2121,2017,5e+05,1653,192500,437500,0.29054054054054,42.3080442837838,-71.0820162297297,90,0.862174578866769
"91",2116,2018,1294500,2250,359000,450000,0.2890625,42.3496851210937,-71.0750866289062,91,0.860643185298622
"92",2125,2015,432250,2152,116000,340200,0.285714285714286,42.315779021978,-71.0621405631868,92,0.859111791730475
"93",2126,2013,280000,1831,8687.5,229500,0.285714285714286,42.2764512268908,-71.0905711260504,93,0.857580398162328
"94",2128,2010,238000,1417,-46334.5,160000,0.285714285714286,42.3775941015873,-71.0292003746032,94,0.856049004594181
"95",2134,2019,607000,2352,212000,270000,0.285714285714286,42.3539943904762,-71.134233647619,95,0.854517611026034
"96",2120,2007,382500,865,59100,265000,0.284403669724771,42.3317576146789,-71.0985212477064,96,0.852986217457887
"97",2125,2011,244900,1681,-18500,180000,0.284132841328413,42.3158313210332,-71.0614057675277,97,0.85145482388974
"98",2134,2021,550000,3050,170925,306150,0.284090909090909,42.3521083465909,-71.1341756306818,98,0.849923430321593
"99",2210,2012,860000,2009,76000,350000,0.28169014084507,42.3492238732394,-71.0499702394366,99,0.848392036753446
"100",2124,2007,315000,917.5,-32364,214230,0.278592375366569,42.2878935571848,-71.0711889765396,100,0.846860643185299
"101",2131,2008,297462.5,1192,-35250,220000,0.277439024390244,42.2830988170732,-71.1283967256098,101,0.845329249617152
"102",2120,2017,845000,2670,279250,473200,0.275862068965517,42.3311014137931,-71.100603637931,102,0.843797856049005
"103",2124,2016,430000,2326,115000,356250,0.275793650793651,42.2868130853175,-71.0713513353175,103,0.842266462480858
"104",2108,2007,756250,1322,104000,305600,0.275,42.3571661916667,-71.0675121583333,104,0.84073506891271
"105",2126,2007,293250,781,-32750,225625,0.274509803921569,42.2766108823529,-71.0907117352941,105,0.839203675344564
"106",2116,2020,1432800,2491,312000,454875,0.272972972972973,42.3494475054054,-71.0752988189189,106,0.837672281776417
"107",2126,2014,305000,1674,90000,287000,0.272,42.275783488,-71.092189024,107,0.83614088820827
"108",2110,2011,751750,1843.5,13000,0,0.27027027027027,42.3580238918919,-71.0514836486487,108,0.834609494640123
"109",2136,2009,249750,1113.5,-59400,190977,0.269938650306748,42.2549527791411,-71.1232320981595,109,0.833078101071975
"110",2111,2008,676500,1191,82750,326375,0.26865671641791,42.3529061791045,-71.0613734328358,110,0.831546707503829
"111",2210,2005,797500,1561,124400,359325,0.267441860465116,42.3475220348837,-71.0499848953488,111,0.830015313935682
"112",2210,2019,1335000,2397,385000,362500,0.266666666666667,42.34931495,-71.05057055,112,0.828483920367534
"113",2125,2017,530000,1735,190000,382313.5,0.264900662251656,42.3151275496689,-71.061802910596,113,0.826952526799387
"114",2134,2022,650000,3077,183500,3e+05,0.264462809917355,42.3542482396694,-71.1331555950413,114,0.82542113323124
"115",2120,2009,312000,1122.5,48708,174400,0.263157894736842,42.3310327719298,-71.0993617017544,115,0.823889739663093
"116",2121,2019,571875,1523,201155,502000,0.261904761904762,42.3068404285714,-71.0809057698413,116,0.822358346094946
"117",2111,2022,1150000,2934,152500,395000,0.261682242990654,42.353101588785,-71.0613139345794,117,0.820826952526799
"118",2116,2017,1147000,1872.5,303250,3e+05,0.258205689277899,42.3497844748359,-71.076083844639,118,0.819295558958652
"119",2128,2021,699500,2121.5,236000,488625,0.258064516129032,42.3762131589862,-71.0295386981567,119,0.817764165390505
"120",2210,2011,705000,1692,2750,3e+05,0.257575757575758,42.3497083636364,-71.0502691969697,120,0.816232771822358
"121",2122,2016,410000,2420.5,1e+05,337375,0.257462686567164,42.2961933843284,-71.0562416231343,121,0.814701378254211
"122",2125,2022,777000,1947,251000,542000,0.257462686567164,42.3160427798507,-71.0610279589552,122,0.813169984686064
"123",2122,2011,235000,1321,-42024,136000,0.257261410788382,42.2965859045643,-71.0566760622407,123,0.811638591117917
"124",2125,2007,318061,557,-10000,237300,0.2560706401766,42.3149699315673,-71.0625441611479,124,0.81010719754977
"125",2108,2018,1462500,1764.5,320000,0,0.255102040816327,42.3573602040816,-71.0663219897959,125,0.808575803981623
"126",2110,2016,1e+06,2344,262500,249300,0.255102040816327,42.3579511122449,-71.0526854591837,126,0.807044410413476
"127",2109,2018,875000,1945,271250,294000,0.253521126760563,42.3640668450704,-71.0525299859155,127,0.805513016845329
"128",2128,2022,725000,2611.5,285000,583650,0.253393665158371,42.3760331764706,-71.0296557488688,128,0.803981623277182
"129",2134,2018,550000,3247,220000,266250,0.252173913043478,42.3522876434783,-71.1339762608696,129,0.802450229709035
"130",2122,2012,283597,1502,0,140370,0.252100840336134,42.2966707689076,-71.0566305630252,130,0.800918836140888
"131",2128,2019,686250,1949.5,256000,518875,0.251412429378531,42.3760269858757,-71.0308494350282,131,0.799387442572741
"132",2110,2021,1210000,2217.5,188575.5,0,0.25,42.35795459375,-71.0531998958333,132,0.797856049004594
"133",2115,2022,895000,2543.5,238000,191657,0.25,42.34654379375,-71.08813135625,133,0.796324655436447
"134",2126,2018,430487.5,1694,138550,361649,0.25,42.2752570833333,-71.0903949038462,134,0.7947932618683
"135",2128,2020,650000,2183,239500,5e+05,0.25,42.3772927724359,-71.0284315544872,135,0.793261868300153
"136",2110,2018,1235000,1818.5,240500,487600,0.247933884297521,42.3576459338843,-71.0532825289256,136,0.791730474732006
"137",2108,2005,6e+05,1113,105000,241500,0.247863247863248,42.3573179230769,-71.066852051282,137,0.790199081163859
"138",2125,2012,263000,1766,6500,194000,0.247524752475248,42.3159282772277,-71.0612331287129,138,0.788667687595712
"139",2134,2020,556000,2256,170250,319200,0.247524752475248,42.3526538415842,-71.1342416732673,139,0.787136294027565
"140",2111,2007,665000,991.5,97500,316000,0.246835443037975,42.3529181835443,-71.0609922594937,140,0.785604900459418
"141",2108,2000,711375,-2971.5,2977250,2e+05,0.246153846153846,42.3573581153846,-71.0664409769231,141,0.784073506891271
"142",2128,2014,356000,2510,73151,264000,0.245333333333333,42.3768889546667,-71.0287044533333,142,0.782542113323124
"143",2116,2019,1199500,2127.5,322625,5e+05,0.245145631067961,42.3493196383495,-71.0758291723301,143,0.781010719754977
"144",2136,2011,240000,1493,-43750,171681.5,0.244755244755245,42.256357979021,-71.1220213321678,144,0.77947932618683
"145",2120,2000,232500,73,262000,165625,0.24468085106383,42.3312626702128,-71.1014259893617,145,0.777947932618683
"146",2215,2018,604950,3317,235000,0,0.24468085106383,42.3463705,-71.0956811595745,146,0.776416539050536
"147",2115,2015,683500,2060.5,166000,261450,0.244565217391304,42.3452034456522,-71.0904343478261,147,0.774885145482389
"148",2109,2017,884500,1834,264500,395625,0.243589743589744,42.3644128333333,-71.0520680384615,148,0.773353751914242
"149",2110,2015,875000,1828,240000,340000,0.242424242424242,42.358151050505,-71.0517474646465,149,0.771822358346095
"150",2108,2013,1262500,1623,145500,175000,0.241935483870968,42.3572005564516,-71.0653217096774,150,0.770290964777948
"151",2115,2021,845000,2644,229000,0,0.241935483870968,42.3458884717742,-71.088695733871,151,0.768759571209801
"152",2113,2017,637000,2307.5,175000,424000,0.240506329113924,42.365292443038,-71.0550043797468,152,0.767228177641654
"153",2109,2007,642500,1063,87250,310800,0.240384615384615,42.3638403365385,-71.05242825,153,0.765696784073507
"154",2113,2016,646250,1556.5,150500,397750,0.24,42.3651579,-71.05528457,154,0.76416539050536
"155",2124,2013,322500,1660.5,27250,233250,0.24,42.2868076258824,-71.0708129317647,155,0.762633996937213
"156",2110,2012,770000,2057,86000,225000,0.238938053097345,42.3581981327434,-71.051782380531,156,0.761102603369066
"157",2109,2013,6e+05,2560,88500,304000,0.238636363636364,42.3639472159091,-71.0525781931818,157,0.759571209800919
"158",2131,2010,285000,1818,-17972.5,234000,0.237082066869301,42.2834058480243,-71.1276793465046,158,0.758039816232772
"159",2108,2012,960000,1849.5,60000,0,0.237037037037037,42.3572209407407,-71.0658120222222,159,0.756508422664625
"160",2113,2014,545000,2587,86250,348000,0.236559139784946,42.3652670430108,-71.0550443548387,160,0.754977029096478
"161",2210,2010,678000,1521,-8558.5,327750,0.235294117647059,42.3495961960784,-71.0503319607843,161,0.753445635528331
"162",2108,2014,1400000,1819.5,266250,0,0.234848484848485,42.3571501742424,-71.0663331287879,162,0.751914241960184
"163",2121,2021,757500,2258.5,386500,594566,0.233870967741935,42.3076138790323,-71.0814214274194,163,0.750382848392037
"164",2128,2012,242500,1955,-1312,120000,0.233676975945017,42.376774838488,-71.0292507972509,164,0.74885145482389
"165",2111,2019,1044000,2494,237500,227825,0.233333333333333,42.352750525,-71.0612281333333,165,0.747320061255743
"166",2134,2010,289500,1749,6887.5,132800,0.232704402515723,42.3531647484277,-71.1332683333333,166,0.745788667687596
"167",2113,2015,592500,2346,119000,400478,0.232558139534884,42.3655545232558,-71.0549458837209,167,0.744257274119449
"168",2134,2014,376000,2693,67000,0,0.232258064516129,42.3526831806452,-71.1345496064516,168,0.742725880551302
"169",2116,2021,1300000,2452,261000,467000,0.232245681381958,42.3493745316699,-71.075397059501,169,0.741194486983155
"170",2109,2022,760000,2655,190000,392000,0.231884057971014,42.3644197826087,-71.052176115942,170,0.739663093415008
"171",2108,2021,1542500,1973,254000,0,0.230769230769231,42.3572130769231,-71.0672998557692,171,0.738131699846861
"172",2115,2013,585000,2082,99500,0,0.229787234042553,42.3464407361702,-71.088059987234,172,0.736600306278714
"173",2128,2009,216500,1227,-71350,155093,0.229591836734694,42.377607875,-71.0288216709184,173,0.735068912710567
"174",2134,2012,311250,2204,10500,0,0.229411764705882,42.3530729588235,-71.1336169941176,174,0.73353751914242
"175",2116,2016,1045000,2001,291000,417000,0.227969348659004,42.3499210172414,-71.0758208467433,175,0.732006125574273
"176",2110,2014,845000,2189,204000,357250,0.227272727272727,42.3579266931818,-71.0519026818182,176,0.730474732006126
"177",2134,2013,354000,2569,40000,0,0.226315789473684,42.3527247315789,-71.1337724842105,177,0.728943338437979
"178",2128,2011,238250,1681,-20000,169379,0.224719101123595,42.3770543258427,-71.0290147827715,178,0.727411944869832
"179",2124,2018,525000,1880.5,204250,388450,0.224137931034483,42.2873133472906,-71.0720037093596,179,0.725880551301685
"180",2115,2016,655000,2303,189500,0,0.222222222222222,42.3471363009259,-71.0882498240741,180,0.724349157733537
"181",2111,2017,927500,3293,255000,349873,0.221428571428571,42.3526826357143,-71.0615198428571,181,0.722817764165391
"182",2134,2016,460000,2688,145888,0,0.221374045801527,42.3533771526718,-71.1340868549618,182,0.721286370597243
"183",2134,2006,350000,811,31500,245250,0.220338983050847,42.3521383771186,-71.1348499872881,183,0.719754977029097
"184",2116,2011,824500,1918,55000,241887.5,0.21969696969697,42.3497368314394,-71.0750183863636,184,0.718223583460949
"185",2114,2021,773000,2813.5,173000,455500,0.219298245614035,42.361289881579,-71.0665400307018,185,0.716692189892802
"186",2122,2007,289500,992,10000,219500,0.21889400921659,42.2970227396313,-71.0578165599078,186,0.715160796324655
"187",2215,2020,781500,2744,221000,395625,0.21875,42.346108015625,-71.097223171875,187,0.713629402756508
"188",2109,2014,699000,2346.5,137000,370000,0.216494845360825,42.3637933608247,-71.0525637216495,188,0.712098009188361
"189",2125,2020,7e+05,2055,226100,5e+05,0.216494845360825,42.3161862611684,-71.060416814433,189,0.710566615620214
"190",2120,2002,309630,516,121500,257000,0.216216216216216,42.3311550675676,-71.101300445946,190,0.709035222052067
"191",2108,2020,1452000,2478,236000,0,0.215189873417722,42.3572489873418,-71.0674614303798,191,0.70750382848392
"192",2120,2006,350000,1246,104300,280000,0.215189873417722,42.3307556329114,-71.1013755189873,192,0.705972434915773
"193",2108,2006,699000,998,65000,336000,0.214876033057851,42.3572716859504,-71.0671394793388,193,0.704441041347626
"194",2120,2018,626000,2715,222500,389000,0.214285714285714,42.3305289285714,-71.1024148333333,194,0.702909647779479
"195",2135,2018,486000,2599.5,172000,251000,0.213513513513514,42.3454425756757,-71.1532814216216,195,0.701378254211332
"196",2111,2015,885000,2876,217000,0,0.212903225806452,42.3525701935484,-71.0611120645161,196,0.699846860643185
"197",2134,2001,234500,277,45900,160000,0.212264150943396,42.3518954811321,-71.1332539716981,197,0.698315467075038
"198",2108,2009,705000,1215,26000,196000,0.212121212121212,42.3572863838384,-71.0663466767677,198,0.696784073506891
"199",2125,2013,306500,2233,32000,242100,0.211940298507463,42.316060438806,-71.0625493731343,199,0.695252679938744
"200",2115,2017,8e+05,2046.5,233500,180000,0.211428571428571,42.3472974685714,-71.0887746057143,200,0.693721286370597
"201",2136,2012,259300,1747,-10625,190978,0.211038961038961,42.2566679155844,-71.1222568409091,201,0.69218989280245
"202",2115,2018,820000,2478.5,268000,0,0.210810810810811,42.3466318972973,-71.0885645837838,202,0.690658499234303
"203",2110,2022,1410000,2606,233500,0,0.210526315789474,42.3575377280702,-71.0537734473684,203,0.689127105666156
"204",2116,2022,1390000,2483,273000,509125,0.208888888888889,42.3494388555556,-71.0751883955556,204,0.687595712098009
"205",2116,2014,935000,2222,208500,320000,0.208747514910537,42.3496731153081,-71.0753702683897,205,0.686064318529862
"206",2135,2017,470000,2827,160250,203700,0.20863309352518,42.3459117505995,-71.152924618705,206,0.684532924961715
"207",2128,2007,3e+05,885.5,12154.5,228750,0.207253886010363,42.3766844715026,-71.0297978238342,207,0.683001531393568
"208",2215,2022,635000,3421,205000,0,0.207207207207207,42.3460167207207,-71.0964855225225,208,0.681470137825421
"209",2128,2013,325000,1969,54876,234000,0.207119741100324,42.3769043624595,-71.0282338673139,209,0.679938744257274
"210",2125,2018,590000,2214.5,230000,446250,0.206405693950178,42.3157208220641,-71.06084086121,210,0.678407350689127
"211",2116,2010,740000,1711,51250,272000,0.205702647657841,42.3496269674134,-71.0755483462322,211,0.67687595712098
"212",2215,2016,607000,2346,165000,0,0.205357142857143,42.3471386160714,-71.09489775,212,0.675344563552833
"213",2136,2007,311250,761,-14426.5,235000,0.204488778054863,42.2562422244389,-71.122596563591,213,0.673813169984686
"214",2110,2001,581250,441.5,169375,275000,0.204081632653061,42.3585387346939,-71.0516350204082,214,0.672281776416539
"215",2215,2015,505000,2690,127000,125000,0.203883495145631,42.3468749320388,-71.0957001262136,215,0.670750382848392
"216",2126,2021,570000,2137,205000,441350,0.202797202797203,42.2757696713287,-71.0891361958042,216,0.669218989280245
"217",2110,2008,524415,1204,156250,246150,0.202380952380952,42.3582093095238,-71.0518133571429,217,0.667687595712098
"218",2120,2005,361225,874.5,92500,261635,0.202380952380952,42.3316482619048,-71.0989875952381,218,0.666156202143951
"219",2109,2010,575000,1663,35000,308000,0.2,42.3640968266667,-71.0523032266667,219,0.664624808575804
